model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),Operating System,graphics,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price,is_gaming_laptop,is_regular_laptop
asus tuf gaming f15 fx577zm-hq067ws laptop,asus,12th gen core i7,16,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,2560 x 1440,14,20,81,122990,True,False
acer aspire vero av15-51-5155 laptop,acer,11th gen core i5,16,512,1000,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,4,8,66,54990,False,True
apple macbook air 2022 laptop,apple,apple m2,8,512,1000,Mac,10 Core GPU,13.6,2560 x 1664,8,18,45,137990,False,True
asus tuf gaming f15 fa506ihrb-hn079w gaming laptop,asus,amd ryzen 5 4600h,8,512,1000,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920 x 1080,6,12,72,55990,True,False
asus vivobook s15 oled s3502za-l502ws laptop,asus,12th gen core i5,16,512,1000,Windows,Intel Iris XE Graphics,15.6,1920 x 1080,12,16,65,72000,False,True
hp pavilion 14-dv2053tu laptop,hewlett packard,12th gen core i5,8,512,1000,Windows,Intel Iris Xe Graphics,14.0,1920 x 1080,10,12,60,62278,False,True
hp pavilion 15s-fq5010tu laptop,hewlett packard,12th gen core i5,8,512,1000,Windows,Intel Iris Xe,15.6,1920 x 1080,12,16,62,63350,False,True
lenovo ideapad slim 3 81wb01ebin laptop,lenovo,10th gen core i3,8,512,1000,Windows,Intel Integrated,15.6,1920 x 1080,2,4,60,36490,False,True
hp pavilion 15s-fq5009tu laptop,hewlett packard,12th gen core i5,8,512,1000,Windows,Intel Iris Xe,15.6,1920 x 1080,10,12,59,60500,False,True
samsung galaxy book2 laptop,samsung,12th gen core i5,8,512,1000,Windows,4 GB Intel Arc A350M Graphics,15.6,1920 x 1080,12,16,63,79990,False,True
asus strix g15 g513rm-hq271ws gaming laptop,asus,ryzen 7 6800h,16,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,2560 x 1440,8,16,82,124990,True,False
dell inspiron 5520 laptop,dell,12th gen core i5,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,12,16,73,79990,False,True
asus vivobook s14 oled s3402za-km501ws laptop,asus,12th gen core i5,16,512,1000,Windows,Intel Iris Xe Graphics,14.0,2880 x 1800,12,16,63,70990,False,True
hp pavilion 15-eg2019tx laptop,hewlett packard,12th gen core i5,16,512,1000,Windows,2 GB NVIDIA GeForce MX550,15.6,1920 x 1080,10,12,60,78200,False,True
samsung galaxy book2 15 laptop,samsung,12th gen core i7,16,512,1000,Windows,Intel Iris Xe Graphics,15.6,1920 x 1080,10,12,62,79990,False,True
samsung galaxy book2 15 laptop,samsung,12th gen core i5,8,512,1000,Windows,Intel Iris Xe Graphics,15.6,1920 x 1080,10,12,60,64490,False,True
dell g15-5511 gaming laptop,dell,11th gen core i5,8,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,6,12,67,65990,True,False
lenovo ideapad 3 81wq00mqin laptop,lenovo,celeron n4020,8,256,1000,Windows,Intel Integrated UHD,15.6,1366 x 768,2,2,51,26585,False,True
dell g15-5520 laptop,dell,12th gen core i5,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,12,16,67,84990,False,True
hp pavilion 15-eg2035tu laptop,hewlett packard,12th gen core i5,16,512,1000,Windows,Intel UHD Graphics,15.6,1920 x 1080,8,12,67,71999,False,True
acer nitro 5 an515-58 gaming laptop,acer,12th gen core i5,8,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,8,16,69,76109,True,False
asus tuf gaming a15 2021 fa506qm-hn124w laptop,asus,ryzen 9 5900hx,16,512,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,1920 x 1080,8,16,75,98900,True,False
lenovo v15-igl 82c3a008ih laptop,lenovo,celeron n4020,4,256,1000,DOS,Intel Integrated UHD,15.6,1920 x 1080,2,2,43,19990,False,True
dell latitude 3420 laptop,dell,11th gen core i5,16,256,1000,Windows,Intel UHD Graphics,14.0,1366 x 768,4,8,65,76900,False,True
dell inspiron 3521 laptop,dell,pentium n5030,8,256,564,Windows,Intel Integrated UHD,15.6,1366 x 768,4,4,49,32033,False,True
dell vostro 5625 laptop,dell,amd ryzen 5 5625u,16,512,1000,Windows,AMD Vega,16.0,1920 x 1200,6,12,72,62490,False,True
hp 240 g8 laptop,hewlett packard,11th gen core i5,8,512,1000,Windows,Intel Integrated,14.0,1366 x 768,4,8,51,60618,False,True
lenovo e41-55 82fj009jih laptop,lenovo,athlon pro 3045b,4,256,1000,DOS,Missing,14.0,1920 x 1080,2,2,47,18990,False,True
hp pavilion 15-eh2018au laptop,hewlett packard,amd ryzen 5 5625u,8,512,1000,Windows,AMD Radeon Graphics,15.6,1920 x 1080,6,12,60,52490,False,True
hp pavilion 14-ec1003au laptop,hewlett packard,amd ryzen 5,8,512,1000,Windows,AMD Radeon Graphics,14.0,1920 x 1080,6,12,60,51990,False,True
samsung galaxy book2 pro 360 13 laptop,samsung,12th gen core i7,16,512,1000,Windows,Intel Iris Xe Graphics,13.3,1080 x 1920,8,16,73,113990,False,True
dell vostro 3510 laptop,dell,11th gen core i5,8,512,1000,Windows,Intel Iris Xe Graphics,15.6,1920 x 1080,4,8,60,54490,False,True
asus vivobook 15 x515ma-br101w laptop,asus,pentium quad core,4,192,1000,Windows,Intel UHD,15.6,1366 x 768,4,2,48,23399,False,True
samsung galaxy book2 pro 360 13 laptop,samsung,12th gen core i5,16,512,1000,Windows,Intel Iris Xe Graphics,13.3,1080 x 1920,12,16,72,110990,False,True
asus vivobook 13 slate oled t3300ka-lq111ws laptop,asus,pentium silver n6000,8,256,1000,Windows,Intel UHD Graphics,13.3,1920 x 1080,4,4,54,43290,False,True
apple macbook air 2020 z124j002kd laptop,apple,apple m1,16,512,1000,Mac,Apple M1 Integrated Graphics,13.3,2560 x 1600,8,16,53,125990,False,True
hp 14s-fq1089au laptop,hewlett packard,ryzen 3 5300u,8,512,1000,Windows,AMD Radeon Graphics,14.0,1920 x 1080,4,8,51,40300,False,True
hp 15s- fq4021tu laptop,hewlett packard,11th gen core i5,8,512,1000,Windows,Intel Iris Xe Graphics,15.6,1920 x 1080,4,8,54,55499,False,True
apple macbook air 2020 z124j001kd laptop,apple,apple m1,16,256,1000,Mac,Apple M1 Integrated Graphics,13.3,2560 x 1600,8,18,43,105990,False,True
hp 15s-eq2143au laptop,hewlett packard,ryzen 3 5300u,8,512,1000,Windows,AMD Radeon AMD,15.6,1920 x 1080,4,8,56,39648,False,True
dell inspiron 3511 laptop,dell,11th gen core i5,8,256,1000,Windows,2 GB NVIDIA MX350,15.6,1920 x 1080,4,8,65,62812,False,True
lenovo ideapad 3 82h801l7in,lenovo,11th gen core i3,8,512,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,4,53,37952,False,True
dell latitude 7410 laptop,dell,10th gen core i5,8,256,1000,Windows,Intel UHD Graphics,14.0,1920 x 1080,4,8,60,77499,False,True
hp pavilion 15-ec2145ax gaming laptop,hewlett packard,ryzen 5 5600h,8,512,1000,Windows,4 GB NVIDIA GeForce GTX 3050,15.6,1920 x 1080,6,12,63,64990,True,False
hp pavilion 15-ec2150ax laptop,hewlett packard,ryzen 5 5600h,8,512,1000,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920 x 1080,6,12,68,59910,False,True
dell latitude 5420 laptop,dell,11th gen core i7,16,512,1000,Windows,Intel Iris Xe Graphics,14.0,1920 x 1080,4,8,61,112000,False,True
hp 14s-dy2506tu laptop,hewlett packard,11th gen core i3,8,256,1000,Windows,Intel Integrated UHD,14.0,1920 x 1080,4,8,50,35490,False,True
lenovo ideapad 3 15itl6 82h801l3in laptop,lenovo,11th gen core i3,8,256,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,4,54,36001,False,True
infinix inbook x1 xl12 laptop,infinix,10th gen core i7,16,512,1000,Windows,Intel Integrated UHD,14.0,1920 x 1080,4,8,55,46990,False,True
asus vivobook x415ea-eb372ws laptop,asus,11th gen core i3,8,256,1000,Windows,Intel UHD Graphics,14.1,1920 x 1080,2,4,54,38990,False,True
asus vivobook 15 2021 x515ja-ej362ws laptop,asus,10th gen core i3,8,512,564,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,4,50,32990,False,True
hp pavilion 15-dk2095tx gaming laptop,hewlett packard,11th gen core i5,8,512,1000,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920 x 1080,4,8,55,61990,True,False
apple macbook pro 16 inch mk1a3hn laptop,apple,m1 max 10 core cpu,32,1000,1000,Mac,32 core GPU,16.2,3456 x 2234,10,24,61,296894,False,True
lenovo v15 82c30052ih laptop,lenovo,intel celeron n4020,4,256,1000,DOS,Intel Integrated UHD,15.6,1920 x 1080,2,2,43,21999,False,True
dell inspiron 3511 laptop,dell,11th gen core i3,8,256,1000,Windows,Intel Integrated,15.6,1920 x 1080,2,4,54,41490,False,True
hp pavilion 15-ec2008ax gaming laptop,hewlett packard,ryzen 5 5600h,8,512,1000,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920 x 1080,6,12,71,58635,True,False
asus vivobook 15 x515ea-bq312ts laptop,asus,11th gen core i3,8,256,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,4,59,34994,False,True
xiaomi mi notebook ultra laptop,xiaomi,11th gen core i5,16,512,1000,Windows,Intel Iris Xe Graphics,15.6,3200 x 2000,4,8,66,62999,False,True
msi bravo 15 b5dd-043in gaming laptop,micro star international,ryzen 5 5600h,8,512,1000,Windows,4 GB AMD Radeon RX5500M,15.6,1920 x 1080,6,12,69,58500,True,False
lenovo ideapad 3 15itl6 82h800u5in laptop,lenovo,11th gen core i3,8,512,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,4,55,37600,False,True
xiaomi redmibook e-learning edition,xiaomi,11th gen core i3,8,256,564,Windows,Intel UHD Graphics,15.6,1920 x 1080,2,4,55,30990,False,True
realme book slim laptop,realme,11th gen core i3,8,256,1000,Windows,Intel UHD Graphics,14.0,1440 x 2160,2,4,53,46990,False,True
lenovo ideapad 3 15itl6 82h8014bin laptop,lenovo,11th gen core i5,8,512,1000,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,4,8,61,55850,False,True
acer extensa ex215-31 laptop,acer,intel pentium n5030,4,256,1000,Windows,Intel UHD Graphics 605,15.6,768 x 1366,4,4,42,21990,False,True
asus rog flow x13 gv301qh-k5462ts gaming laptop,asus,amd ryzen 9,16,1000,1000,Windows,4 GB NVIDIA GeForce GTX 1650,13.39,3840 x 2400,8,16,84,105990,True,False
lenovo yoga 9i 82bg005jin laptop,lenovo,11th gen core i7,16,1000,1000,Windows,Intel Iris Xe Graphics,14.0,3840 x 2160,4,8,67,172990,False,True
dell inspiron 3501 laptop,dell,11th gen core i5,8,256,1000,Windows,Intel Iris Xe Graphics,15.6,1920 x 1080,4,8,57,61640,False,True
apple macbook air 2020 mgn73hn laptop,apple,apple m1,8,512,1000,Mac,Apple M1 Integrated Graphics,13.3,2560 x 1600,8,14,47,109990,False,True
dell inspiron 3593 laptop,dell,10th gen core i3,4,256,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,4,55,36990,False,True
microsoft surface laptop 3 1873,microsoft,v4g 00021) laptop,8,128,1000,Windows,AMD Radeon Vega 9,15.0,2496 x 1664,4,8,59,99990,False,True
hp elitebook 840 g6,hewlett packard,7yy01pa) laptop,8,512,1000,Windows,2 GB Radeon RX 550,14.0,1920 x 1080,4,8,66,146000,False,True
dell latitude 5320 2-in-1 laptop,dell,11th gen core i5,16,256,1000,Windows,Intel UHD Graphics,13.3,1920 x 1080,4,8,65,87999,False,True
lenovo v15 itl 82kba03jih laptop,lenovo,11th gen core i3,8,512,564,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,4,51,33990,False,True
asus vivobook 15 x1500ea-ej3381ws laptop,asus,11th gen core i3,8,512,1000,Windows,Intel UHD Graphics,15.6,1920 x 1080,2,4,51,39400,False,True
hp envy x360 15-ew0037tu laptop,hewlett packard,12th gen core i5,16,512,1000,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,10,12,72,82999,False,True
hp 15s-eq2213au laptop,hewlett packard,amd ryzen 3 5300u,8,512,1000,Windows,AMD Radeon Graphics,15.6,1920 x 1080,4,8,55,40960,False,True
asus vivobook pro 16x oled n7601zm-mq711ws gaming laptop,asus,12th gen core i7,16,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3060,16.0,3840 x 2400,10,16,86,168990,True,False
hp victus 16-d0310tx gaming laptop,hewlett packard,11th gen core i5,8,512,1000,Windows,4 GB NVIDIA GeForce GTX 1650,16.1,1920 x 1080,6,12,72,84419,True,False
hp victus 15-fb0777ax gaming laptop,hewlett packard,amd ryzen 5 5600h,8,512,1000,Windows,4 GB AMD Radeon RX 6500M Graphics,15.6,1920 x 1080,6,12,68,70816,True,False
hp victus 16-d0311tx gaming laptop,hewlett packard,11th gen core i5,16,512,1000,Windows,4 GB NVIDIA GeForce GTX 1650,16.1,1920 x 1080,6,12,74,75990,True,False
dell g15-5520 d560897win9s laptop,dell,12th gen core i9,16,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,1920 x 1080,14,20,78,149899,False,True
hp victus 16-e0333tx gaming laptop,hewlett packard,amd ryzen 5 5600h,16,512,1000,Windows,6 GB NVIDIA GeForce RTX3060,16.1,1920 x 1080,6,12,73,92990,True,False
lenovo legion 5 pro 82rg00elin laptop,lenovo,amd ryzen 7 6800h,16,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3060,16.0,2560 x 1600,8,16,75,159990,False,True
msi katana gf66 12ud gaming laptop,micro star international,12th gen core i7,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050Ti,15.6,1920 x 1080,14,20,76,105000,True,False
msi pulse gl66 12ugszok gaming laptop,micro star international,12th gen core i9,16,1000,1000,Windows,8 GB NVIDIA GeForce RTX 3070Ti,15.6,2560 x 1440,14,20,80,209000,True,False
hp pavilion 15-eg2091tu laptop,hewlett packard,12th gen core i5,16,512,1000,Windows,Intel Iris Xe Graphics,15.6,1920 x 1080,12,16,63,74098,False,True
hp envy x360 15-ew0043tu 2-in-1 laptop,hewlett packard,12th gen core i5,16,512,1000,Windows,Intel Iris Xe Graphics,15.6,1920 x 1080,10,12,71,99999,False,True
hp envy x360 15-ew0047tu 2-in-1 laptop,hewlett packard,12th gen core i7,16,512,1000,Windows,Intel Iris X Graphics,15.6,1920 x 1080,10,12,72,116000,False,True
hp probook 445 g8 laptop,hewlett packard,amd ryzen 7 5800u,16,512,1000,Windows,AMD Radeon,14.0,1366 x 768,8,16,72,73999,False,True
apple macbook pro 16 inch laptop,apple,m2 pro 12 core cpu,16,1000,1000,Mac,19 core GPU,16.2,3456 x 2234,12,18,59,269900,False,True
apple macbook pro 16 inch laptop,apple,m2 pro 12 core cpu,16,512,1000,Mac,19 core GPU,16.2,3456 x 2234,12,20,55,249900,False,True
apple macbook pro 14 inch laptop,apple,m2 max 12 core cpu,32,1000,1000,Mac,30 core GPU,14.19,3024 x 1964,12,18,62,309900,False,True
apple macbook pro 14 inch laptop,apple,m2 pro 12 core cpu,16,1000,1000,Mac,19 core GPU,14.19,3024 x 1964,12,20,56,249900,False,True
apple macbook pro 14 inch laptop,apple,m2 pro 10 core cpu,16,512,1000,Mac,16 core GPU,14.19,3024 x 1964,10,16,54,199900,False,True
hp pavilion plus 14-eh0037tu laptop,hewlett packard,12th gen core i5,16,512,1000,Windows,Intel Integrated Iris Xe,14.0,2880 x 1800,12,16,71,81990,False,True
apple macbook pro 2022 laptop,apple,apple m2,16,256,1000,Mac,10 Core GPU,13.3,2560 x 1600,8,16,44,149000,False,True
apple macbook air m2 2022 laptop,apple,apple m2,16,512,1000,Mac,10 Core GPU,13.6,2560 x 1664,8,18,47,159000,False,True
apple macbook air 2022 laptop,apple,apple m2,16,256,1000,Mac,10 Core GPU,13.6,2560 x 1664,8,18,44,137900,False,True
samsung galaxy book2 np550xed-ka2in laptop,samsung,12th gen core i5,16,512,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,8,12,59,70990,False,True
lenovo legion 7i 82td009kin gaming laptop,lenovo,12th gen core i9,32,1000,1000,Windows,16 GB NVIDIA GeForce RTX 3080 Ti,16.0,2560 x 1600,16,24,90,359990,True,False
dell inspiron 3511 d560783win9bd laptop,dell,11th gen core i3,8,512,1000,Windows,Intel UHD Graphics,15.56,1920 x 1080,2,4,57,61202,False,True
dell vostro 3425 d552308win9b laptop,dell,amd ryzen 3 5425u,8,256,1000,Windows,AMD Radeon AMD,14.0,1920 x 1080,4,8,61,50852,False,True
hp 245 g8 ‎6e3z1pa laptop,hewlett packard,amd ryzen 3 3250u,8,512,1000,DOS,AMD Radeon Graphics,14.0,1366 x 768,2,4,53,36000,False,True
msi modern 14 c12m-269in laptop,micro star international,12th gen core i3,8,512,1000,Windows,Intel Integrated UHD,14.0,1920 x 1080,6,8,61,44990,False,True
dell inspiron 5420 icc-c782537win8 laptop,dell,12th gen core i5,16,512,1000,Windows,Intel Integrated Iris Xe,14.0,1920 x 1080,12,16,68,91958,False,True
hp 15s-du3612tu laptop,hewlett packard,11th gen core i3,8,256,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,4,62,41990,False,True
infinix inbook x2 plus xl25 laptop,infinix,11th gen core i5,16,512,1000,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,4,8,53,49990,False,True
dell inspiron 3520 laptop,dell,12th gen core i5,8,512,1000,Windows,Intel Iris Xe Graphics,15.6,1920 x 1080,10,12,61,62029,False,True
dell vostro 3420 laptop,dell,12th gen core i5,16,512,1000,Windows,Intel UHD Graphics,14.0,1920 x 1080,10,12,61,69900,False,True
dell inspiron 3520 2022 laptop,dell,12th gen core i5,8,256,1000,Windows,2 GB NVIDIA MX550 Graphics,15.6,1920 x 1080,10,12,67,72990,False,True
hp envy x360 15-ew0040tu laptop,hewlett packard,12th gen core i5,16,512,1000,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,10,12,67,77990,False,True
hp envy x360 15-ew0048tu laptop,hewlett packard,12th gen core i7,16,1000,1000,Windows,Intel Integrated Iris Xe,15.6,2880 x 1800,10,12,73,109990,False,True
hp envy x360 15-ew0043tu laptop,hewlett packard,12th gen core i5,16,512,1000,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,10,12,65,84990,False,True
dell g15-5520 gaming laptop,dell,12th gen core i5,8,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,12,16,75,79990,True,False
hp pavilion 14-ec1005au laptop,hewlett packard,amd ryzen 5 5625u,16,512,1000,Windows,AMD Radeon Graphics,14.0,1920 x 1080,6,12,61,59815,False,True
hp pavilion 14-ec1005au laptop,hewlett packard,12th gen core i5,16,512,1000,Windows,Intel Iris Xe Graphics,15.6,1920 x 1080,12,16,63,75990,False,True
hp envy x360 13-bf0121tu laptop,hewlett packard,12th gen core i5,16,512,1000,Windows,Intel Integrated Iris Xe,13.39,1920 x 1200,10,12,72,79990,False,True
hp envy x360 13-ay1064au 2-in-1 laptop,hewlett packard,ryzen 7 5800u,16,512,1000,Windows,AMD Radeon Graphic,13.3,1920 x 1080,8,16,72,98000,False,True
dell vostro 3520 laptop,dell,12th gen core i5,8,512,1000,Windows,Intel Iris Xe Graphics,15.6,1920 x 1080,10,12,56,60070,False,True
asus rog zephyrus g15 ga503rmz-ln155ws gaming laptop,asus,amd ryzen 7 6800hs,16,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,2560 x 1440,8,16,81,157990,True,False
dell vostro 3420 laptop,dell,12th gen core i5,8,512,1000,Windows,Intel UHD Graphics,14.0,1920 x 1080,10,12,59,57990,False,True
dell vostro 3525 laptop,dell,amd r5 5625u,16,512,1000,Windows,AMD Radeon Radeon Graphics,15.6,1920 x 1080,6,12,62,55530,False,True
dell vostro 3525 laptop,dell,amd ryzen 5 5625u,8,512,1000,Windows,AMD Radeon Radeon Graphics,15.6,1920 x 1080,6,12,60,51499,False,True
dell vostro 3420 laptop,dell,12th gen core i3,8,512,1000,Windows,Intel UHD Graphics,14.0,1920 x 1080,6,8,56,43990,False,True
asus rog zephyrus g15 ga503rsz-hq061ws gaming laptop,asus,amd ryzen 9 6900hs,16,1000,1000,Windows,8 GB NVIDIA GeForce RTX 3070Ti,15.6,2560 x 1440,8,16,85,211990,True,False
msi modern 15 b12m laptop,micro star international,12th gen core i7,16,512,1000,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,10,12,62,67990,False,True
msi modern 15 b12m laptop,micro star international,12th gen core i5,16,512,1000,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,10,12,62,57990,False,True
msi modern 14 c12m laptop,micro star international,12th gen core i5,8,512,1000,Windows,Intel Integrated Iris Xe,14.0,1920 x 1080,10,12,59,56990,False,True
asus vivobook 15 x1502za-ej381ws laptop,asus,12th gen core i3,8,512,1000,Windows,Intel UHD Graphics,15.6,1920 x 1080,10,12,55,42990,False,True
hp 240 g8 business laptop,hewlett packard,11th gen core i5,8,512,1000,Windows,Intel Integrated,14.0,1366 x 768,4,8,56,52999,False,True
hp victus 15-fa0031dx gaming laptop,hewlett packard,12th gen core i5,8,512,1000,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920 x 1080,8,12,69,79888,True,False
lenovo thinkpad p15v 21aas05l00 laptop,lenovo,11th gen core i7,16,1000,1000,Windows,4 GB Nvidia Quadro T600,15.6,1920 x 1080,8,16,79,159999,False,True
acer aspire 5 a515-57 2022 laptop,acer,12th gen core i5,16,512,1000,Windows,Intel Iris Xe Graphic,15.6,1920 x 1080,10,12,66,61990,False,True
hp pavilion x360 14-ek0137tu laptop,hewlett packard,12th gen core i3,8,512,1000,Windows,Intel Integrated UHD,14.0,1920 x 1080,6,8,66,59990,False,True
dell vostro 3510 icc-d585046win8 laptop,dell,intel pentium gold 7505,8,256,564,Windows,Intel UHD Graphics,15.6,1920 x 1080,2,4,53,32990,False,True
hp 240 g8 4k5d5pa business laptop,hewlett packard,11th gen core i3,8,512,1000,DOS,Intel Integrated,14.0,1366 x 768,2,4,44,35000,False,True
lenovo e41-55 82fj00b5ih laptop,lenovo,athlon 3050u,4,256,1000,DOS,AMD Radeon AMD,14.0,1366 x 768,2,2,47,18990,False,True
lenovo e41-55 82fj00b5ih laptop,lenovo,athlon 3050u,4,256,1000,DOS,AMD Radeon AMD,14.0,1366 x 768,2,2,48,18990,False,True
msi katana gf66 12uc-632in gaming laptop,micro star international,12th gen core i7,8,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,14,20,73,80990,True,False
lenovo ideapad flex 5 14alc7 82r9006pin laptop,lenovo,amd ryzen 5 5500u,16,512,1000,Windows,AMD Radeon,14.0,1920 x 1200,6,12,69,72690,False,True
lenovo v14 gen 2 ‎82c40019ix laptop,lenovo,11th gen core i5,8,512,1000,Windows,Intel Iris Xe Graphics,14.0,1920 x 1080,4,8,56,49999,False,True
asus rog strix g15 g513ie-hn088ws gaming laptop,asus,ryzen 7 4800h,8,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050 Ti,15.6,1920 x 1080,8,16,69,76990,True,False
asus vivobook 14 oled ux3402za-kn531ws laptop,asus,12th gen core i5,16,512,1000,Windows,Intel Iris Xe,14.0,2880 x 1800,12,16,69,95980,False,True
lenovo ideapad slim 3 82rj0040in laptop,lenovo,12th gen core i3,8,512,1000,Windows,‎Intel UHD Graphics,14.0,1920 x 1080,6,8,59,52900,False,True
ultimus s151 nu14u2inc43vn-cs laptop,ultimus,celeron n4020,4,128,1000,Windows,Intel Integrated UHD Graphics,14.1,1920 x 1080,2,2,48,19990,False,True
hp pavilion 14-dv2014tu laptop,hewlett packard,12th gen core i5,16,512,1000,Windows,Intel Integrated UHD Graphics,14.0,1920 x 1080,10,12,65,68918,False,True
ultimus s151 nu14u2inc43vd-cs laptop,ultimus,celeron n4020,4,128,516,DOS,Intel Integrated UHD Graphics,14.1,1920 x 1080,2,2,44,17990,False,True
ultimus s152 nu15u2inc44vn-sg laptop,ultimus,celeron n4020,4,256,1000,Windows,Intel Integrated UHD Graphics,15.6,1920 x 1080,2,2,50,23990,False,True
lenovo legion s7 82tf007lin gaming laptop,lenovo,12th gen core i7,16,1000,1000,Windows,4 GB NVIDIA GeForce RTX 3050 Ti,16.0,2560 x 1600,14,20,84,149990,True,False
acer aspire 5 a515-57 nx.k2vsi.002 laptop,acer,12th gen core i3,8,512,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,6,8,59,42990,False,True
msi stealth gs66 12ugs-290in gaming laptop,micro star international,12th gen core i7,32,1000,1000,Windows,8 GB NVIDIA GeForce RTX 3070Ti,15.6,2560 x 1440,14,20,96,288990,True,False
hp envy x360 13-ay1065au laptop,hewlett packard,amd ryzen 5 5600u,8,512,1000,Windows,AMD Radeon,13.3,1920 x 1080,6,12,65,75190,False,True
dell latitude 14 7420 laptop,dell,11th gen core i5,16,512,1000,Windows,Intel Iris Xe Graphics,14.0,1920 x 1080,4,8,57,98280,False,True
acer aspire 5 a515-57 laptop,acer,12th gen core i5,8,512,1000,Windows,Intel Iris Xe Graphic,15.6,1920 x 1080,10,12,63,57990,False,True
lenovo ideapad slim 3 82h802xxin laptop,lenovo,11th gen core i5,16,512,1000,Windows,Intel UHD Graphics,15.6,1920 x 1080,4,8,63,59290,False,True
gigabyte g5 ke rc55ke laptop,gigabyte,12th gen core i5,16,512,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,1920 x 1080,12,16,74,103890,False,True
gigabyte g5 me rc55me laptop,gigabyte,12th gen core i5,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050 TI,15.6,1920 x 1080,12,16,68,85990,False,True
gigabyte g5 ge rc55ge laptop,gigabyte,12th gen core i5,8,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,12,16,66,109990,False,True
dell inspiron 7420 d560918win9s laptop,dell,12th gen core i5,8,512,1000,Windows,Intel Integrated UHD,14.0,1920 x 1080,10,12,67,74990,False,True
lenovo thinkpad x13 21bns03k00 laptop,lenovo,12th gen core i7,16,512,1000,Windows,Intel Iris Xe Graphics,13.3,1920 x 1200,12,16,71,200000,False,True
acer nitro 5 an515-45 un.qclsi.005 gaming laptop,acer,amd ryzen 5 5600h,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,6,12,72,75990,True,False
acer nitro 5 an515-45 un.qclsi.006 gaming laptop,acer,amd ryzen 5 5600h,8,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,6,12,69,68990,True,False
acer nitro 5 an515-45 un.qbmsi.009 gaming laptop,acer,amd ryzen 5 5600h,16,512,1000,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920 x 1080,6,12,71,63990,True,False
hp envy x360 13-bf0085tu laptop,hewlett packard,12th gen core i5,8,512,1000,Windows,Intel Iris Xe Graphics,13.3,1920 x 1200,10,12,63,79990,False,True
hp 240 g8 business laptop,hewlett packard,11th gen core i3,8,512,564,Windows,Intel Integrated,14.0,1366 x 768,2,4,49,34440,False,True
lenovo ideapad slim 3 81wd014xin laptop,lenovo,10th gen core i3,4,256,564,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,4,54,31990,False,True
lenovo thinkpad t14 20w0s1hu00 laptop,lenovo,11th gen core i7,16,512,1000,Windows,2 GB NVIDIA MX450,14.0,1920 x 1080,4,8,69,140200,False,True
